model,level,ordinal,solid_elements,nodes,quantity,value,unit,previous_level,absolute_change,delta_percent,limit_percent,passed,run_path,evidence
structural,coarse,1,30,48,W_max,0.00817022050126,mm,,,,2,,simulation/convergence/stage10_structural_mesh_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,coarse,1,30,48,residual_displacement,0.0596392236317,mm,,,,2,,simulation/convergence/stage10_structural_mesh_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,coarse,1,30,48,residual_stress_p95,9.96500026145e-05,MPa,,,,5,,simulation/convergence/stage10_structural_mesh_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,120,155,W_max,0.01125978486,mm,coarse,0.00308956435876,27.4389289,2,False,simulation/convergence/stage10_structural_mesh_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,120,155,residual_displacement,0.0785377720783,mm,coarse,0.0188985484465,24.0630055,2,False,simulation/convergence/stage10_structural_mesh_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,120,155,residual_stress_p95,0.000494074973957,MPa,coarse,0.000394424971343,79.8309957,5,False,simulation/convergence/stage10_structural_mesh_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,480,549,W_max,0.0125017727404,mm,medium,0.00124198788043,9.93449414,2,False,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,480,549,residual_displacement,0.0853451704053,mm,medium,0.00680739832708,7.97631347,2,False,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,480,549,residual_stress_p95,0.000704609190316,MPa,medium,0.000210534216359,29.8795729,5,False,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,1080,1183,W_max,0.0127968557122,mm,fine,0.000295082971745,2.30590216,2,False,simulation/convergence/stage10_structural_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,1080,1183,residual_displacement,0.0867443147454,mm,fine,0.00139914434007,1.61295221,2,True,simulation/convergence/stage10_structural_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,1080,1183,residual_stress_p95,0.000708284694508,MPa,fine,3.67550419194e-06,0.518930343,5,True,simulation/convergence/stage10_structural_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,ultra_fine,5,1920,2057,W_max,0.0129173331824,mm,extra_fine,0.000120477470234,0.932680674,2,True,simulation/convergence/stage10_structural_mesh_ultra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,ultra_fine,5,1920,2057,residual_displacement,0.0872522472401,mm,extra_fine,0.000507932494725,0.582142593,2,True,simulation/convergence/stage10_structural_mesh_ultra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,ultra_fine,5,1920,2057,residual_stress_p95,0.000722935504183,MPa,extra_fine,1.46508096752e-05,2.02657216,5,True,simulation/convergence/stage10_structural_mesh_ultra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,coarse,1,8,36,thermal_lag_at_300_s,52.3790317014,degC,,,,2,,simulation/convergence/stage10_thermal_mesh_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,coarse,1,8,36,temperature_gradient_at_300_s,252.141073259,degC/m,,,,2,,simulation/convergence/stage10_thermal_mesh_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,medium,2,16,68,thermal_lag_at_300_s,52.3711478351,degC,coarse,0.00788386627615,0.0150538352,2,True,simulation/convergence/stage10_thermal_mesh_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,medium,2,16,68,temperature_gradient_at_300_s,252.384042525,degC/m,coarse,0.242969265885,0.0962696625,2,True,simulation/convergence/stage10_thermal_mesh_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,fine,3,32,132,thermal_lag_at_300_s,52.3691745986,degC,medium,0.0019732364393,0.00376793496,2,True,simulation/convergence/stage10_thermal_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,fine,3,32,132,temperature_gradient_at_300_s,252.44472203,degC/m,medium,0.060679504368,0.0240367491,2,True,simulation/convergence/stage10_thermal_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,extra_fine,4,64,260,thermal_lag_at_300_s,52.3686811479,degC,fine,0.000493450732471,0.00094226305,2,True,simulation/convergence/stage10_thermal_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,extra_fine,4,64,260,temperature_gradient_at_300_s,252.459887985,degC/m,fine,0.0151659552465,0.00600727322,2,True,simulation/convergence/stage10_thermal_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
contact_normal_lagrange,coarse,1,40,55,mean_contact_pressure,16.987224102,MPa,,,,2,,simulation/convergence/stage10_contact_mesh_lagrange_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
contact_normal_lagrange,coarse,1,40,55,maximum_contact_pressure,19.7689714432,MPa,,,,5,,simulation/convergence/stage10_contact_mesh_lagrange_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
contact_normal_lagrange,coarse,1,40,55,maximum_penetration,0,mm,,,,2,,simulation/convergence/stage10_contact_mesh_lagrange_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
contact_normal_lagrange,coarse,1,40,55,normal_reaction,172.49075923,N/mm,,,,2,,simulation/convergence/stage10_contact_mesh_lagrange_coarse_a03,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
