model,level,ordinal,thermal_dt_s,structural_ramp_dt_s,structural_hold_dt_s,quantity,value,unit,previous_level,absolute_change,delta_percent,profile_RMSE_C_vs_previous,limit_percent,passed,run_path,evidence
structural,coarse,1,,0.1,1.0,W_max,0.0124807496359,mm,,,,,1,,simulation/convergence/stage10_structural_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,coarse,1,,0.1,1.0,residual_displacement,0.0852010006353,mm,,,,,1,,simulation/convergence/stage10_structural_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,coarse,1,,0.1,1.0,residual_stress_p95,0.000706989415613,MPa,,,,,3,,simulation/convergence/stage10_structural_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,,0.05,0.5,W_max,0.0124948201861,mm,coarse,1.40705501899e-05,0.112611066,,1,True,simulation/convergence/stage10_structural_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,,0.05,0.5,residual_displacement,0.0852974510416,mm,coarse,9.64504062682e-05,0.113075368,,1,True,simulation/convergence/stage10_structural_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,medium,2,,0.05,0.5,residual_stress_p95,0.000708089177055,MPa,coarse,1.09976144139e-06,0.155313974,,3,True,simulation/convergence/stage10_structural_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,,0.01,0.1,W_max,0.0125017727404,mm,medium,6.95255433047e-06,0.0556125477,,1,True,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,,0.01,0.1,residual_displacement,0.0853451704053,mm,medium,4.77193637682e-05,0.0559133734,,1,True,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,fine,3,,0.01,0.1,residual_stress_p95,0.000704609190316,MPa,medium,3.47998673848e-06,0.493888923,,3,True,simulation/convergence/stage10_structural_mesh_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,,0.005,0.05,W_max,0.0125021595222,mm,fine,3.86781795036e-07,0.00309371988,,1,True,simulation/convergence/stage10_structural_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,,0.005,0.05,residual_displacement,0.0853479126143,mm,fine,2.74220898414e-06,0.00321297721,,1,True,simulation/convergence/stage10_structural_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
structural,extra_fine,4,,0.005,0.05,residual_stress_p95,0.000703649707852,MPa,fine,9.5948246371e-07,0.136357971,,3,True,simulation/convergence/stage10_structural_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,coarse,1,5.0,,,thermal_lag_at_300_s,52.2638030289,degC,,,,,1,,simulation/convergence/stage10_thermal_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,coarse,1,5.0,,,temperature_gradient_at_300_s,251.946228001,degC/m,,,,,1,,simulation/convergence/stage10_thermal_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,coarse,1,5.0,,,temperature_profile_L2_excursion,23.7226197897,degC,,,,,1,,simulation/convergence/stage10_thermal_time_coarse_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,medium,2,1.0,,,thermal_lag_at_300_s,52.3520828616,degC,coarse,0.088279832782,0.168627164,0.0644453306172,1,True,simulation/convergence/stage10_thermal_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,medium,2,1.0,,,temperature_gradient_at_300_s,252.378594808,degC/m,coarse,0.432366807654,0.171316751,0.0644453306172,1,True,simulation/convergence/stage10_thermal_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,medium,2,1.0,,,temperature_profile_L2_excursion,23.7437660857,degC,coarse,0.0211462960355,0.0890604126,0.0644453306172,1,True,simulation/convergence/stage10_thermal_time_medium_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,fine,3,0.25,,,thermal_lag_at_300_s,52.3686811479,degC,medium,0.0165982862704,0.0316950626,0.0121187698958,1,True,simulation/convergence/stage10_thermal_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,fine,3,0.25,,,temperature_gradient_at_300_s,252.459887985,degC/m,medium,0.0812931767413,0.0322004329,0.0121187698958,1,True,simulation/convergence/stage10_thermal_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,fine,3,0.25,,,temperature_profile_L2_excursion,23.7477646661,degC,medium,0.00399858038306,0.0168377127,0.0121187698958,1,True,simulation/convergence/stage10_thermal_mesh_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,extra_fine,4,0.125,,,thermal_lag_at_300_s,52.3714489402,degC,fine,0.00276779233421,0.00528492602,0.00202088150305,1,True,simulation/convergence/stage10_thermal_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,extra_fine,4,0.125,,,temperature_gradient_at_300_s,252.47344376,degC/m,fine,0.0135557748273,0.00536918839,0.00202088150305,1,True,simulation/convergence/stage10_thermal_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
thermal,extra_fine,4,0.125,,,temperature_profile_L2_excursion,23.7484321336,degC,fine,0.000667467493788,0.00281057499,0.00202088150305,1,True,simulation/convergence/stage10_thermal_time_extra_fine_a01,A: genuine MAPDL solver output; derived metric recomputed from raw extraction
