source_key,authors,year,title,journal_or_publisher,doi_or_reference,formulation,source_locator,source_url,evidence_scope,compatibility_decision,local_evidence,sha256
PrusamentTDS2022,Prusa Polymers a.s.,2022,Technical datasheet: Prusament PLA,Prusa Polymers a.s.,Prusament PLA TDS v1.1 (27 July 2022),Prusament PLA,p. 2 and p. 3 note 3,https://prusament.com/materials/pla/,Typical density and room-condition printed tensile modulus; the test temperature is not reported,"Same named formulation as Chapuis et al.; usable only for the stated typical values, with temperature limitation retained",literature/evidence/stage_04/Prusament_PLA_TDS_2022_EN.pdf,6b141fb50fbfd31d58bd69ade88a3d952b182a0e953e2c924241df40e859e811
Chapuis2025,Joël N. Chapuis; Gian Teufen; Kristina Shea,2025,Thermo-viscoelastic laminate-based finite element modeling of fused filament fabrication direct 4D printing,"Smart Materials and Structures 34, 075034",10.1088/1361-665X/adeee4,Prusament PLA,main text §§2.1–2.2 and 3.1; supplementary Tables B.1–B.2; main-text Table 5,https://doi.org/10.1088/1361-665X/adeee4,"Grade-specific DMA, 23-term generalized Maxwell model, WLF/Arrhenius shifting, constant ν and α, and calibrated AM pre-strain","Primary constitutive evidence set; direct characterization spans 23–85 °C and does not establish k(T), c_p(T), density temperature dependence, or bulk constrained-annealing shrinkage",literature/evidence/stage_04/Chapuis2025_supplement.pdf,19630d6f0be479f4feacc1c33ca921467406786c651eeadc82db42c8b0513f48
Luberto2024,Luca Luberto; Volker Böß; Kristin M. de Payrebrune,2024,Finite Difference Modeling and Experimental Investigation of Cyclic Thermal Heating in the Fused Filament Fabrication Process,"3D Printing and Additive Manufacturing 11, e1064–e1072",10.1089/3dp.2022.0282,PLA filament; commercial grade not identified,"Material and heat transfer model, Table 1",https://doi.org/10.1089/3dp.2022.0282,"ρ, c_p and k at 20 °C used as constants in an FFF heat-transfer model",Thermal comparator only; not transferred to Prusament PLA because the formulation is unidentified and temperature dependence was assumed away,literature/evidence/stage_04/Luberto2024_PMC.html,b5b344253e538cc5849090a911269cd3911483a2544c26c8470be5c17783f562
Trofimov2022,Anton Trofimov et al.,2022,Experimentally validated modeling of the temperature distribution and the distortion during the Fused Filament Fabrication process,"Additive Manufacturing 54, 102693",10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred literature functions,§3.2 and Table 1,https://doi.org/10.1016/j.addma.2022.102693,"Temperature-dependent model table for E, ν, α, k, c_p and ρ",Excluded from the Prusament law: the table combines room-temperature grade measurements with functions and thermal data from other literature,literature/evidence/stage_05/Trofimov2022.pdf,42742d361e0fe0e6f1a266676b1022cf18cfe27f156a60415113f8e3db01e198
Li2024,Meiyu Li; Yanan Xu; Jianguang Fang,2024,Orthotropic mechanical properties of PLA materials fabricated by fused deposition modeling,"Thin-Walled Structures 199, 111800",10.1016/j.tws.2024.111800,FormFutura Premium PLA,§2.1 and Table 4,https://doi.org/10.1016/j.tws.2024.111800,Seven calibrated room-condition orthotropic elastic constants,"Comparator only: different grade/road geometry, and G23 plus ν23 are absent, so the full ANSYS orthotropic matrix is not identifiable",literature/evidence/stage_04/Li2024_orthotropic.pdf,4c6ebe7c4ce6dd3fcb1000a21ced9ef7e8d3e16159a462766848c664ec542c17
Bute2024,Irina Bute; Sergejs Tarasovs; Jevgenijs Sevcenko; Andrey Aniskevich,2024,Thermomechanical Analysis and Numerical Simulations of Fused Filament Fabricated Polylactic Acid Parts,"Materials Science 30, 217–225",10.5755/j02.ms.35076,Black Devil Design PLA,§§2.1–2.3 and 3.1–3.3; Figures 9–15,https://doi.org/10.5755/j02.ms.35076,Directional CLTE and irreversible thermal strain during TMA; qualitative ANSYS residual-stress comparison,"Recovery-mechanism comparator only; different grade and print architecture, with most numerical strain values available graphically rather than as a table",literature/evidence/stage_05/Bute2024.pdf,9638cf851454a53a48e341e779494e0252555114f94b3d884f5d29e641a389e5
Relaxation2022,Alcide Bertocco; Matteo Bruno; Enrico Armentani; Luca Esposito; Michele Perrella,2022,Stress Relaxation Behavior of Additively Manufactured Polylactic Acid (PLA),"Materials 15, 3509",10.3390/ma15103509,SUNLU PLA Plus,§§2–3 and Tables 4–8,https://doi.org/10.3390/ma15103509,"Room-condition tensile stiffness and 500 s relaxation tests with Maxwell, standard-linear-solid and Findley fits",Comparator only; different modified PLA grade and no temperature-shifted Prony series for annealing temperatures,literature/evidence/stage_05/Relaxation2022.xml,105e3378d16c0cbab778e519f6dc5b92fc7ea8b17f270a83c1e4e2612550a98b
Pantani2010,Roberto Pantani; Francesco De Santis; Andrea Sorrentino; Fabrizio De Maio; Giuseppe Titomanlio,2010,Crystallization kinetics of virgin and processed poly(lactic acid),"Polymer Degradation and Stability 95, 1148–1159",10.1016/j.polymdegradstab.2010.04.018,Virgin and processed PLA studied in that paper; not Prusament PLA,publication metadata and abstract; numerical kinetic tables not accepted without compatible full-text extraction,https://doi.org/10.1016/j.polymdegradstab.2010.04.018,Isothermal/non-isothermal crystallization kinetics precedent,No kinetic coefficient transferred; formulation and thermal-history compatibility are unestablished,literature/metadata/Pantani2010.json,f9eff261c55b388a97aa673ae73c951f973dd2c4152cfa2475272f62f3a6e0ce
Nucleation2011,Andrea Sorrentino; Roberto Pantani,2011,Nucleation and crystallization kinetics of poly(lactic acid),"Thermochimica Acta 522, 128–134",10.1016/j.tca.2011.05.034,Commercial PLA grade studied in that paper; not Prusament PLA,publication metadata and abstract,https://doi.org/10.1016/j.tca.2011.05.034,Avrami and Lauritzen–Hoffman crystallization precedent,No kinetic coefficient transferred; the grade and thermal path do not identify Prusament behavior,literature/metadata/Nucleation2011.json,2165be34189775f5b4ec550845a4d18ee580ef79c4fda22155edc854f0ac2023
WLF1955,Malcolm L. Williams; Robert F. Landel; John D. Ferry,1955,The Temperature Dependence of Relaxation Mechanisms in Amorphous Polymers and Other Glass-forming Liquids,"Journal of the American Chemical Society 77, 3701–3707",10.1021/ja01619a008,General glass-forming-polymer theory,article,https://doi.org/10.1021/ja01619a008,Time–temperature shift foundation,Theory source only; numerical constants used here come from the grade-specific Chapuis fit,literature/metadata/WLF1955.json,d2d09bce8732f6721270d1ef0b9c8a1ebb50b6a5ad8b0587ababc05bcba073ea
Meng2026,Longhui Meng; Aqib Mashood Khan; Yicai Shan; Khalid A. Al-Ghamdi,2026,Saturation behavior and full-field reconstruction of residual stress in quenched AISI 304 stainless steel via the contour method,"Scientific Reports 16, 11694",10.1038/s41598-026-45542-w,AISI 304 stainless steel,"Material properties and model setup, Table 1",https://doi.org/10.1038/s41598-026-45542-w,"Tabulated temperature-dependent ρ, c_p, k, α, E and ν from 20–800 °C","Selected fixture-property source; 20, 100 and 200 °C rows bracket the planned 20–110 °C domain",literature/evidence/stage_04/Meng2026_AISI304_PMC.html,636a917dd78c697b6703ab274b6dd36f61b582967d9a0745a6501b9d285edf1b
