case,time_s,quantity,ansys,reference,absolute_error,relative_error_percent,tolerance,passed,raw_contact_status,evidence
contact,1.0,ux_mm,0.0010000000000003,0.001,2.9989032090949053e-16,2.998903209094905e-11,1.1e-06,True,,A: MAPDL; B: analytical calculation
contact,1.0,uy_mm,0.00010000000000003,0.0001,2.9991742596380266e-17,2.9991742596380266e-11,2e-07,True,,A: MAPDL; B: analytical calculation
contact,1.0,uz_mm,0.00010000000000003,0.0001,2.9991742596380266e-17,2.9991742596380266e-11,2e-07,True,,A: MAPDL; B: analytical calculation
contact,1.0,stress_x_MPa,-2.80172426218815e-17,0.0,2.80172426218815e-17,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,1.0,reaction_x_N,2.80172436399499e-17,-0.0,2.80172436399499e-17,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,1.0,contact_force_N,0.0,0.0,0.0,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,1.0,contact_closed,0,0,0,,1e-07,True,0.999999999999999,A: MAPDL; B: analytical calculation
contact,1.0,gap_mm,-0.00100000004749745,0.001,0.00200000004749745,200.000004749745,1.1e-06,False,,A: MAPDL; B: analytical calculation
contact,2.0,ux_mm,0.00200000000000067,0.002,6.700369425960417e-16,3.350184712980209e-11,2.1e-06,True,,A: MAPDL; B: analytical calculation
contact,2.0,uy_mm,0.000720000000000084,0.00072,8.391724815037804e-17,1.1655173354219173e-11,8.200000000000001e-07,True,,A: MAPDL; B: analytical calculation
contact,2.0,uz_mm,0.000720000000000084,0.00072,8.391724815037804e-17,1.1655173354219173e-11,8.200000000000001e-07,True,,A: MAPDL; B: analytical calculation
contact,2.0,stress_x_MPa,-0.800000011920929,-0.8000000000000002,1.1920928799646902e-08,1.4901160999558625e-06,0.0008001000000000001,True,,A: MAPDL; B: analytical calculation
contact,2.0,reaction_x_N,0.800000000000027,0.8000000000000002,2.6867397195928788e-14,3.3584246494910977e-12,0.0008001000000000001,True,,A: MAPDL; B: analytical calculation
contact,2.0,contact_force_N,-0.800000011920929,-0.8000000000000002,1.1920928799646902e-08,1.4901160999558625e-06,0.0008001000000000001,True,,A: MAPDL; B: analytical calculation
contact,2.0,contact_closed,1,1,0,0.0,0.0010001,True,2.0,A: MAPDL; B: analytical calculation
contact,2.0,gap_mm,0.0,0.0,0.0,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,ux_mm,2.00153245756909e-16,0.0,2.00153245756909e-16,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,uy_mm,2.00178365975939e-17,0.0,2.00178365975939e-17,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,uz_mm,2.00135629512352e-17,0.0,2.00135629512352e-17,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,stress_x_MPa,8.93226517690079e-18,0.0,8.93226517690079e-18,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,reaction_x_N,-8.9322621481418e-18,-0.0,8.9322621481418e-18,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,contact_force_N,0.0,0.0,0.0,,1e-07,True,,A: MAPDL; B: analytical calculation
contact,3.0,contact_closed,0,0,0,,1e-07,True,1.0,A: MAPDL; B: analytical calculation
contact,3.0,gap_mm,-0.0020000000949949,0.002,0.0040000000949949,200.000004749745,2.1e-06,False,,A: MAPDL; B: analytical calculation
