case,time_s,quantity,ansys,reference,absolute_error,relative_error_percent,tolerance,passed,raw_contact_status,evidence
visco,1.0,ux_mm,0.00999999999999991,0.01,9.020562075079397e-17,9.020562075079397e-13,1.0100000000000002e-05,True,,A: MAPDL; B: analytical calculation
visco,1.0,uy_mm,-0.000349999999999996,-0.00035,4.0115480381963664e-18,1.146156582341819e-12,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,1.0,uz_mm,-0.000349999999999996,-0.00035,4.0115480381963664e-18,1.146156582341819e-12,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,1.0,stress_x_MPa,0.0375536568462845,0.0375574834741345,3.826627849999598e-06,0.010188722715234534,3.76574834741345e-05,True,,A: MAPDL; B: analytical calculation
visco,1.0,reaction_x_N,-0.0375536554910547,-0.0375574834741345,3.827983079796038e-06,0.010192331130045855,3.76574834741345e-05,True,,A: MAPDL; B: analytical calculation
visco,11.0,ux_mm,0.00999999999999994,0.01,6.071532165918825e-17,6.071532165918825e-13,1.0100000000000002e-05,True,,A: MAPDL; B: analytical calculation
visco,11.0,uy_mm,-0.000349999999999998,-0.00035,2.0057740190981832e-18,5.730782911709095e-13,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,11.0,uz_mm,-0.000349999999999998,-0.00035,2.0057740190981832e-18,5.730782911709095e-13,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,11.0,stress_x_MPa,0.0243886373937129,0.024388637893644954,4.99932054087715e-10,2.049856397343061e-06,2.4488637893644953e-05,True,,A: MAPDL; B: analytical calculation
visco,11.0,reaction_x_N,-0.0243886378936404,-0.024388637893644954,4.5553838479150954e-15,1.867830367477025e-11,2.4488637893644953e-05,True,,A: MAPDL; B: analytical calculation
visco,31.0,ux_mm,0.01,0.01,0.0,0.0,1.0100000000000002e-05,True,,A: MAPDL; B: analytical calculation
visco,31.0,uy_mm,-0.00035,-0.00035,0.0,0.0,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,31.0,uz_mm,-0.000349999999999999,-0.00035,9.75781955236954e-19,2.787948443534154e-13,4.5e-07,True,,A: MAPDL; B: analytical calculation
visco,31.0,stress_x_MPa,0.0183896347880363,0.01838963524255053,4.545142283374215e-10,2.4715782686420655e-06,1.848963524255053e-05,True,,A: MAPDL; B: analytical calculation
visco,31.0,reaction_x_N,-0.0183896352425481,-0.01838963524255053,2.42861286636753e-15,1.320642217387829e-11,1.848963524255053e-05,True,,A: MAPDL; B: analytical calculation
visco,32.0,ux_mm,2.33060098997466e-14,0.0,2.33060098997466e-14,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,32.0,uy_mm,-8.15733979450847e-16,-0.0,8.15733979450847e-16,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,32.0,uz_mm,-8.1506924055287e-16,-0.0,8.1506924055287e-16,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,32.0,stress_x_MPa,-0.0193833038210854,-0.019387130910873282,3.827089787883375e-06,0.01974036181773008,1.9487130910873282e-05,True,,A: MAPDL; B: analytical calculation
visco,32.0,reaction_x_N,0.0193833029276131,0.019387130910873282,3.827983260182993e-06,0.019744970402175738,1.9487130910873282e-05,True,,A: MAPDL; B: analytical calculation
visco,62.0,ux_mm,0.0,0.0,0.0,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,62.0,uy_mm,-3.18738825868435e-19,-0.0,3.18738825868435e-19,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,62.0,uz_mm,6.91262535293403e-19,-0.0,6.91262535293403e-19,,1e-07,True,,A: MAPDL; B: analytical calculation
visco,62.0,stress_x_MPa,-0.00457577453926206,-0.004575774653361068,1.1409900801950812e-10,2.4935451735084546e-06,4.675774653361068e-06,True,,A: MAPDL; B: analytical calculation
visco,62.0,reaction_x_N,0.0045757746533595,0.004575774653361068,1.5681900222830336e-15,3.427157456565617e-11,4.675774653361068e-06,True,,A: MAPDL; B: analytical calculation
